aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
0,2,3.39,9.038461538461537,26.0,8.6,2410.0,False,1,0,122,1,4,True,55.5,32,84,0,0.8543969245555022,2,115,4,4,4800.0,3.39,0,98.8,0.9236111111111112
0,0,2.68,12.36842105263158,19.0,9.0,2823.0,False,0,0,152,4,6,True,52.4,26,154,1,0.8226814031715521,15,122,6,2,5000.0,3.47,1,94.5,0.9097222222222222
0,2,3.19,8.703703703703704,27.0,9.0,2275.0,False,1,0,109,1,6,True,55.7,34,85,0,0.8250840941854877,9,94,4,4,5250.0,3.4,2,97.3,0.9097222222222222
0,2,3.54,11.190476190476188,21.0,9.3,2758.0,False,1,0,121,1,6,True,56.1,28,110,1,0.8966842864007688,16,104,4,4,5250.0,3.07,2,99.1,0.9236111111111112
0,0,3.39,9.038461538461537,26.0,8.6,2385.0,False,1,0,122,1,4,True,53.7,32,84,0,0.8543969245555022,2,129,4,2,4800.0,3.39,1,98.8,0.9236111111111112
0,0,2.91,4.795918367346938,49.0,9.6,1713.0,False,1,0,92,1,1,True,50.8,54,58,0,0.6948582412301778,5,137,4,2,4800.0,3.41,2,86.6,0.8875
1,2,3.01,6.351351351351353,37.0,23.0,2319.0,True,1,0,97,1,2,False,55.7,42,68,0,0.8250840941854877,9,94,4,4,4500.0,3.4,2,97.3,0.9097222222222222
1,2,3.62,9.791666666666666,24.0,7.7,2510.0,False,4,0,108,3,6,True,54.3,29,111,1,0.8265257087938491,17,102,4,4,4800.0,2.64,0,97.0,0.9083333333333334
0,2,3.8,16.785714285714285,14.0,8.0,3900.0,False,0,0,308,4,6,True,56.7,16,184,2,1.0,13,122,8,4,4500.0,3.35,0,120.9,0.9958333333333332
0,0,3.27,11.75,20.0,9.3,2976.0,False,0,0,171,2,6,True,52.0,24,161,2,0.8817876021143681,6,197,6,2,5200.0,3.35,3,102.9,0.9402777777777778
0,0,3.19,8.103448275862071,29.0,9.0,2204.0,False,0,0,98,1,4,True,52.6,34,70,0,0.810667948101874,6,168,4,2,4800.0,3.03,1,94.5,0.8888888888888888
0,0,2.97,7.580645161290323,31.0,9.4,1967.0,False,1,0,90,1,4,True,50.6,38,68,0,0.7558865929841423,18,148,4,4,5500.0,3.23,1,93.7,0.8861111111111111
0,0,3.31,8.703703703703704,27.0,8.7,2458.0,False,1,0,122,1,6,True,53.9,32,92,0,0.8438250840941854,6,65,4,4,4200.0,3.54,-1,102.4,0.9236111111111112
