,aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
118,0,2,2.97,7.580645161290323,31.0,9.4,1989.0,False,1,0,90,1,4,True,50.8,38,68,0,0.8039404132628545,20,154,4,4,5500.0,3.23,1,93.7,0.8861111111111111
172,0,2,3.31,8.703703703703704,27.0,8.7,2414.0,False,1,0,122,1,6,True,54.9,32,92,0,0.8438250840941854,6,65,4,4,4200.0,3.54,-1,102.4,0.9236111111111112
168,0,4,3.62,9.791666666666666,24.0,9.3,2975.0,False,0,0,146,1,6,True,53.0,30,116,1,0.8467083133109082,6,134,4,2,4800.0,3.5,2,98.4,0.9111111111111108
174,0,0,3.27,11.75,20.0,9.3,2976.0,False,0,0,171,2,6,True,52.0,24,161,2,0.8817876021143681,6,197,6,2,5200.0,3.35,3,102.9,0.9402777777777778
42,0,2,3.31,9.791666666666666,24.0,8.5,2337.0,False,0,0,111,1,4,True,53.5,29,78,0,0.8202787121576165,4,122,4,4,4800.0,3.23,0,94.3,0.8583333333333333
40,0,2,3.15,9.791666666666666,24.0,9.0,2465.0,False,1,0,110,1,6,True,54.1,28,101,0,0.8428640076886112,5,85,4,4,5800.0,3.58,0,96.5,0.9055555555555556
59,0,2,3.39,9.038461538461537,26.0,8.6,2410.0,False,1,0,122,1,4,True,55.5,32,84,0,0.8543969245555022,2,115,4,4,4800.0,3.39,0,98.8,0.9236111111111112
11,0,2,3.31,11.190476190476188,21.0,9.0,2710.0,False,0,0,164,1,6,True,54.3,28,121,1,0.8495915425276309,3,188,6,2,4250.0,3.19,0,101.2,0.8999999999999999
112,0,2,3.46,12.36842105263158,19.0,8.4,3075.0,False,0,0,120,0,6,True,56.7,24,97,0,0.897164824603556,1,161,4,4,5000.0,3.19,0,107.9,0.95
152,0,2,3.19,7.833333333333332,30.0,9.0,2081.0,False,1,0,98,1,4,True,53.0,37,70,0,0.7991350312349833,6,91,4,4,4800.0,3.03,0,95.7,0.8944444444444445
108,0,2,3.46,12.36842105263158,19.0,8.4,3075.0,False,0,0,120,0,6,True,56.7,24,95,0,0.897164824603556,1,161,4,4,5000.0,2.19,0,107.9,0.95
14,0,2,3.62,14.6875,16.0,8.0,3230.0,False,0,0,209,1,6,True,55.7,22,182,2,0.9082172032676598,3,122,6,4,5400.0,3.39,0,103.5,0.9291666666666668
156,0,2,3.19,6.184210526315789,38.0,9.0,2094.0,False,1,0,98,1,4,True,53.0,47,70,0,0.7991350312349833,6,91,4,4,4800.0,3.03,0,95.7,0.8944444444444445
116,1,0,3.03,9.791666666666666,24.0,7.6,2128.0,False,1,0,98,1,3,True,50.8,30,102,1,0.7558865929841423,20,119,4,2,5500.0,3.39,1,93.7,0.8861111111111111
26,1,2,3.03,9.791666666666666,24.0,7.6,2191.0,False,1,0,98,1,6,True,50.6,30,102,1,0.7558865929841423,18,148,4,4,5500.0,3.39,1,93.7,0.8861111111111111
142,0,3,3.62,8.392857142857142,28.0,9.0,2290.0,False,1,0,108,3,4,True,53.0,32,82,0,0.8337337818356559,17,89,4,4,4800.0,2.64,0,97.0,0.9083333333333334
157,0,0,3.19,8.392857142857142,28.0,9.0,2122.0,False,1,0,98,1,4,True,52.8,34,70,0,0.7991350312349833,6,91,4,4,4800.0,3.03,0,95.7,0.8944444444444445
