,aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
58,0,0,3.39,9.038461538461537,26.0,8.6,2385.0,False,1,0,122,1,4,True,53.7,32,84,0,0.8543969245555022,2,129,4,2,4800.0,3.39,1,98.8,0.9236111111111112
0,0,4,3.47,11.190476190476188,21.0,9.0,2548.0,False,0,0,130,2,6,True,48.8,27,111,1,0.8111484863046613,15,122,4,2,5000.0,2.68,3,88.6,0.8902777777777777
93,0,2,3.15,7.580645161290323,31.0,9.4,1971.0,False,1,0,97,1,4,True,54.5,37,69,0,0.794329649207112,10,122,4,4,5200.0,3.29,1,94.5,0.8861111111111111
91,0,2,3.15,7.580645161290323,31.0,9.4,1951.0,False,1,0,97,1,4,True,54.5,37,69,0,0.794329649207112,10,128,4,2,5200.0,3.29,1,94.5,0.8861111111111111
193,0,3,3.78,9.791666666666666,24.0,9.5,3042.0,False,0,0,141,1,6,True,57.5,28,114,1,0.9072561268620856,0,74,4,4,5400.0,3.15,-1,104.3,0.9333333333333332
191,0,3,3.78,10.217391304347826,23.0,9.5,3034.0,False,0,0,141,1,6,True,57.5,28,114,1,0.9072561268620856,0,74,4,4,5400.0,3.15,-1,104.3,0.9333333333333332
71,0,1,3.8,16.785714285714285,14.0,8.0,3715.0,False,0,0,304,4,6,True,55.4,16,184,2,0.957232099951946,13,122,8,2,4500.0,3.35,1,112.0,1.0
85,0,2,3.17,10.217391304347826,23.0,7.5,2403.0,False,1,0,110,1,3,True,51.6,30,116,1,0.8284478616049976,21,137,4,4,5500.0,3.46,-1,96.3,0.9083333333333334
33,0,0,2.91,7.833333333333332,30.0,9.2,1956.0,False,1,0,92,1,1,True,52.6,34,76,0,0.7208073041806824,5,101,4,2,6000.0,3.41,1,93.7,0.8888888888888888
200,1,2,3.78,12.36842105263158,19.0,9.5,3062.0,False,0,0,141,1,6,True,55.5,25,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
