,aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
24,0,2,2.97,7.580645161290323,31.0,9.4,1989.0,False,1,0,90,1,4,True,50.6,38,68,0,0.7558865929841423,18,148,4,4,5500.0,3.23,1,93.7,0.8861111111111111
176,0,2,3.27,11.75,20.0,9.2,3131.0,False,0,0,171,2,6,True,54.1,24,156,2,0.9024507448342144,6,90,6,4,5200.0,3.35,-1,104.5,0.9236111111111112
43,0,0,3.43,9.791666666666666,24.0,9.2,2734.0,False,0,0,119,1,5,True,51.4,29,90,0,0.8294089380105718,4,122,4,2,5000.0,3.23,2,96.0,0.9055555555555556
13,0,2,3.31,11.75,20.0,9.0,3055.0,False,0,0,164,1,6,True,55.7,25,121,1,0.9082172032676598,3,122,6,4,4250.0,3.19,1,103.5,0.9291666666666668
108,0,2,3.46,12.36842105263158,19.0,8.4,3075.0,False,0,0,120,0,6,True,56.7,24,95,0,0.897164824603556,1,161,4,4,5000.0,2.19,0,107.9,0.95
8,1,2,3.13,13.823529411764708,17.0,8.3,3086.0,False,1,0,131,1,6,True,55.9,20,140,1,0.9259971167707832,12,158,5,4,5500.0,3.4,1,105.8,0.9916666666666668
90,0,3,3.15,7.580645161290323,31.0,9.4,2024.0,False,1,0,97,1,4,True,53.5,37,69,0,0.8178760211436809,10,103,4,4,5200.0,3.29,1,94.5,0.8861111111111111
168,0,4,3.62,9.791666666666666,24.0,9.3,2975.0,False,0,0,146,1,6,True,53.0,30,116,1,0.8467083133109082,6,134,4,2,4800.0,3.5,2,98.4,0.9111111111111108
185,0,4,3.19,9.791666666666666,24.0,8.5,2254.0,False,1,0,109,1,6,True,55.6,29,90,0,0.7654973570398848,9,122,4,2,5500.0,3.4,3,94.5,0.8916666666666667
25,0,2,2.97,7.580645161290323,31.0,9.4,1989.0,False,1,0,90,1,4,True,50.6,38,68,0,0.7558865929841423,18,148,4,4,5500.0,3.23,1,93.7,0.8861111111111111
200,1,2,3.78,12.36842105263158,19.0,9.5,3062.0,False,0,0,141,1,6,True,55.5,25,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
12,0,2,3.31,11.190476190476188,21.0,9.0,2765.0,False,0,0,164,1,6,True,54.3,28,121,1,0.8495915425276309,3,188,6,4,4250.0,3.19,0,101.2,0.8999999999999999
33,0,0,2.91,7.833333333333332,30.0,9.2,1956.0,False,1,0,92,1,1,True,52.6,34,76,0,0.7208073041806824,5,101,4,2,6000.0,3.41,1,93.7,0.8888888888888888
167,0,0,3.62,9.791666666666666,24.0,9.3,2714.0,False,0,0,146,1,6,True,52.0,30,116,1,0.8467083133109082,6,134,4,2,4800.0,3.5,2,98.4,0.9111111111111108
84,1,2,3.17,10.217391304347826,23.0,7.5,2403.0,False,1,0,110,1,3,True,51.6,30,116,1,0.8284478616049976,21,125,4,4,5500.0,3.46,1,96.3,0.9083333333333334
72,1,0,3.78,12.36842105263158,19.0,8.0,2910.0,False,0,0,140,1,6,True,54.8,24,175,2,0.8572801537722249,7,122,4,2,5000.0,3.12,1,102.7,0.9444444444444444
150,0,3,3.05,8.703703703703704,27.0,9.0,2290.0,False,4,0,92,1,4,True,59.1,32,62,0,0.8154733301297453,6,81,4,4,4800.0,3.03,0,95.7,0.8833333333333333
110,0,3,3.46,12.36842105263158,19.0,8.4,3285.0,False,0,0,120,0,6,True,56.7,24,95,0,0.9557904853435848,1,122,4,4,5000.0,2.19,0,114.2,0.95
29,0,0,2.91,4.795918367346938,49.0,9.6,1713.0,False,1,0,92,1,1,True,50.8,54,58,0,0.6948582412301778,5,137,4,2,4800.0,3.41,2,86.6,0.8875
156,0,2,3.19,6.184210526315789,38.0,9.0,2094.0,False,1,0,98,1,4,True,53.0,47,70,0,0.7991350312349833,6,91,4,4,4800.0,3.03,0,95.7,0.8944444444444445
16,0,2,3.62,15.666666666666664,15.0,8.0,3505.0,False,0,0,209,1,6,True,56.3,20,182,2,0.9466602594906296,3,122,6,4,5400.0,3.39,0,110.0,0.9847222222222224
79,1,0,3.58,12.36842105263158,19.0,7.0,2833.0,False,1,0,156,1,3,True,50.2,24,145,1,0.8322921672272945,21,122,4,2,5000.0,3.86,3,95.9,0.9208333333333332
169,0,2,3.31,8.103448275862071,29.0,8.7,2326.0,False,1,0,122,1,6,True,54.9,34,92,0,0.8438250840941854,6,65,4,4,4200.0,3.54,-1,102.4,0.9236111111111112
152,0,2,3.19,7.833333333333332,30.0,9.0,2081.0,False,1,0,98,1,4,True,53.0,37,70,0,0.7991350312349833,6,91,4,4,4800.0,3.03,0,95.7,0.8944444444444445
73,0,0,2.97,6.351351351351353,37.0,9.4,1918.0,False,1,0,92,1,4,True,50.8,41,68,0,0.7558865929841423,21,161,4,2,5500.0,3.23,2,93.7,0.8944444444444445
54,0,0,3.329751243781096,13.823529411764708,17.0,9.4,2385.0,False,0,0,70,5,0,True,49.6,23,101,0,0.8121095627102355,2,150,2,2,6000.0,3.256903553299492,3,95.3,0.9125
161,0,2,3.24,9.038461538461537,26.0,9.4,2265.0,False,0,0,98,2,6,True,52.6,29,112,1,0.810667948101874,6,168,4,2,6600.0,3.08,1,94.5,0.8888888888888888
127,0,0,3.46,10.217391304347826,23.0,8.7,2460.0,False,1,0,132,1,6,True,50.5,31,104,1,0.8495915425276309,19,122,4,2,5125.369458128079,3.9,2,96.1,0.925
80,1,0,3.59,12.36842105263158,19.0,7.0,2921.0,False,1,0,156,1,3,True,50.2,24,145,1,0.8322921672272945,21,122,4,2,5000.0,3.86,3,95.9,0.9208333333333332
196,0,2,3.78,10.217391304347826,23.0,9.5,2952.0,False,0,0,141,1,6,True,55.5,28,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
101,0,0,3.43,12.36842105263158,19.0,9.0,3071.0,False,0,0,181,4,6,True,49.7,25,160,2,0.8202787121576165,10,194,6,2,5200.0,3.27,3,91.3,0.9430555555555556
189,0,3,3.19,9.4,25.0,9.0,2563.0,False,1,0,109,1,6,True,55.1,31,88,0,0.8798654493032196,9,122,4,4,5500.0,3.4,0,100.4,0.9291666666666668
26,1,2,3.03,9.791666666666666,24.0,7.6,2191.0,False,1,0,98,1,6,True,50.6,30,102,1,0.7558865929841423,18,148,4,4,5500.0,3.39,1,93.7,0.8861111111111111
135,0,0,3.62,9.038461538461537,26.0,8.7,2120.0,False,1,0,108,3,4,True,53.7,31,73,0,0.758769822200865,17,83,4,2,4400.0,2.64,2,93.7,0.8833333333333333
28,1,0,3.6,12.36842105263158,19.0,7.0,2811.0,False,1,0,156,1,7,True,50.2,24,145,1,0.8322921672272945,18,145,4,2,5000.0,3.9,3,95.9,0.9208333333333332
142,0,3,3.62,8.392857142857142,28.0,9.0,2290.0,False,1,0,108,3,4,True,53.0,32,82,0,0.8337337818356559,17,89,4,4,4800.0,2.64,0,97.0,0.9083333333333334
164,0,1,3.62,9.791666666666666,24.0,9.3,2536.0,False,0,0,146,1,6,True,52.0,30,116,1,0.8467083133109082,6,134,4,2,4800.0,3.5,2,98.4,0.9111111111111108
113,1,2,3.7,8.392857142857142,28.0,21.0,3252.0,True,0,0,152,0,2,False,56.7,33,95,0,0.897164824603556,1,161,4,4,4150.0,3.52,0,107.9,0.95
18,0,0,3.03,6.184210526315789,38.0,9.6,1874.0,False,1,0,90,1,4,True,52.0,43,70,0,0.7491590581451226,14,98,4,2,5400.0,3.11,1,94.5,0.8833333333333333
21,0,0,2.97,7.580645161290323,31.0,9.4,1876.0,False,1,0,90,1,4,True,50.8,38,68,0,0.7558865929841423,18,118,4,2,5500.0,3.23,1,93.7,0.8861111111111111
179,0,2,3.19,8.703703703703704,27.0,9.0,2209.0,False,1,0,109,1,6,True,55.7,34,85,0,0.8250840941854877,9,122,4,2,5250.0,3.4,2,97.3,0.9097222222222222
