aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
0,0,2.97,6.351351351351353,37.0,9.4,1918.0,False,1,0,92,1,4,True,50.8,41,68,0,0.7558865929841423,21,161,4,2,5500.0,3.23,2,93.7,0.8944444444444445
0,0,3.329751243781096,13.823529411764708,17.0,9.4,2385.0,False,0,0,70,5,0,True,49.6,23,101,0,0.8121095627102355,2,150,2,2,6000.0,3.256903553299492,3,95.3,0.9125
0,2,3.78,10.217391304347826,23.0,9.5,2952.0,False,0,0,141,1,6,True,55.5,28,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
0,2,3.43,13.823529411764708,17.0,9.0,3095.0,False,1,0,181,4,6,True,55.1,22,152,1,0.8731379144641999,10,128,6,4,5200.0,3.27,0,100.4,0.9236111111111112
0,2,3.19,6.184210526315789,38.0,9.0,2094.0,False,1,0,98,1,4,True,53.0,47,70,0,0.7991350312349833,6,91,4,4,4800.0,3.03,0,95.7,0.8944444444444445
1,2,3.58,10.681818181818182,22.0,21.5,3515.0,True,0,0,183,1,2,False,56.5,25,123,1,0.9173474291206152,13,93,5,4,4350.0,3.64,-1,110.0,0.9763888888888888
0,3,2.92,7.833333333333332,30.0,9.2,2024.0,False,1,0,92,1,1,True,58.3,34,76,0,0.7549255165785679,5,78,4,4,6000.0,3.41,0,96.5,0.8875
1,2,3.7,8.392857142857142,28.0,21.0,3252.0,True,0,0,152,0,2,False,56.7,33,95,0,0.897164824603556,1,161,4,4,4150.0,3.52,0,107.9,0.95
0,2,3.39,9.038461538461537,26.0,8.6,2410.0,False,1,0,122,1,4,True,55.5,32,84,0,0.8543969245555022,2,115,4,4,4800.0,3.39,0,98.8,0.9236111111111112
0,3,3.15,7.580645161290323,31.0,9.4,2037.0,False,1,0,97,1,4,True,53.5,37,69,0,0.8178760211436809,10,103,4,4,5200.0,3.29,1,94.5,0.8861111111111111
1,0,3.43,13.823529411764708,17.0,7.8,3139.0,False,0,0,181,4,6,True,49.7,23,200,2,0.8202787121576165,10,194,6,2,5200.0,3.27,3,91.3,0.9430555555555556
1,2,3.7,8.392857142857142,28.0,21.0,3252.0,True,0,0,152,0,2,False,56.7,33,95,0,0.897164824603556,1,161,4,4,4150.0,3.52,0,107.9,0.95
0,0,2.97,7.580645161290323,31.0,9.4,1876.0,False,1,0,90,1,4,True,50.8,38,68,0,0.7558865929841423,18,118,4,2,5500.0,3.23,1,93.7,0.8861111111111111
0,0,3.329751243781096,13.823529411764708,17.0,9.4,2380.0,False,0,0,70,5,0,True,49.6,23,101,0,0.8121095627102355,2,150,2,2,6000.0,3.256903553299492,3,95.3,0.9125
0,0,3.39,9.038461538461537,26.0,8.6,2385.0,False,1,0,122,1,4,True,53.7,32,84,0,0.8543969245555022,2,129,4,2,4800.0,3.39,1,98.8,0.9236111111111112
0,3,3.46,12.36842105263158,19.0,8.4,3285.0,False,0,0,120,0,6,True,56.7,24,95,0,0.9557904853435848,1,122,4,4,5000.0,2.19,0,114.2,0.95
1,1,3.58,10.681818181818182,22.0,21.5,3495.0,True,0,0,183,1,2,False,54.9,25,123,1,0.9010091302258528,13,93,5,2,4350.0,3.64,0,106.7,0.9763888888888888
0,4,3.19,9.791666666666666,24.0,8.5,2254.0,False,1,0,109,1,6,True,55.6,29,90,0,0.7654973570398848,9,122,4,2,5500.0,3.4,3,94.5,0.8916666666666667
